Subject,DS,Certainty
S001_right,1,1.0
S001_left,1,1.0
S002_right,0,0.6
S002_left,1,1.0
S003_right,1,1.0
S003_left,1,0.6
S004_right,1,0.8
S004_left,0,1.0
